,tweet,tag,tag_idx
57,Dan Hardy rn:  #UFCVegas42  https://t.co/IcOb9sjQj4,Darby,1
58,Jesus christ the officiating has been shite  #UFCVegas42,Darby,1
59,It’s time! @BlessedMMA fights always bring #violence and I can’t wait! #UFCVegas42,Darby,1
61,He had took BOMBS before hand tho so i understand the stoppage #UFCVegas42,Darby,1
62,This card has been ridiculously good #UFCVegas42 🔥🔥,Darby,1
63,Time to watch greatness #UFCVegas42  https://t.co/2BucidSKzE,Darby,1
64,Juliana Peña is going to get fucked up. #UFCVegas42,Darby,1
65,"De Lima: Yo Herb, you gonna stop this or what?!  Herb Dean:  #UFCVegas42  https://t.co/YAlNJ8wy2G",Darby,1
66,Herb Dean is the only referee that throws feints. #UFCVegas42,Darby,1
67,Its Time For Main EVENTTTTTT #UFCVegas42  LETS GOOOO @BlessedMMA  https://t.co/mcYetDREZP,Darby,1
68,What @bisping ??? Big Ben thought it was an early stoppage?  He got knocked unconscious then punched back to a waking state like 4 times in 30 seconds!   #UFCVegas42  https://t.co/gXVRTVSumT,Darby,1
69,🇧🇷 @Pezao011 🇧🇷 vence a Ben Rothwell con fascinante TKO en el primer round💯 #UFCVegas42  https://t.co/hKm41tYYAv,Darby,1
70,"""hey Herb, maybe you should think about stopping this fight"" #UFCVegas42  https://t.co/MvRl5FEEwf",Darby,1
71,In a fight I’d rather the referee be 10 seconds too early rather than 10 seconds too late.  Don’t “um and ah” whilst some dude is losing brain cells 🤯  #UFCVegas42,Darby,1
73,"#UFCVegas42 I believe it was a bad stoppage! As Ben was locking hand for the takedown, a guy like Ben should get that extra chance to get back in it.",Darby,1
74,Main event up next! Who gets it done? #UFCVegas42,Darby,1
75,Strange that @BlessedMMA is on a fight night but always good watching him fight. #UFCVegas42,Darby,1
76,I wonder is Michael bisping can actually understand Portuguese or is he just nodding his head lol. #UFCVegas42 #ufc,Darby,1
79,Herb Dean  #UFCVegas42  https://t.co/4N2nvLuj2v,Darby,1
80,Heres the moment we have been waiting for! #UFCVegas42    https://t.co/iGbbPwJ67w,Darby,1
81,UFC Vegas 32 has been a card full of first round knock outs 🔥 🔥  #UFCVegas42,Darby,1
82,Herb “Half Stoppage” Dean. #UFCVegas42,Darby,1
83,"If Max Holloway vs Yair Rodriguez ends in a KO/TKO, #UFCVegas42 will set the record for most KOs in one card  Fingers crossed  #UFC #MMATwitter",Darby,1
84,"I say this with the understanding that MMA referees have a very difficult job, but it’s happened before that Herb Dean actually TOUCHES a fighter and allows the action to go on. This time, Lima had to be like, “Yo, didn’t you stop it?” to be sure. Crazy. #UFCVegas42  https://t.co/2UtyZyuD41",Darby,1
85,I’ll eat at Golden Corral tonight if Yair wins this fight. #UFCVegas42,Darby,1
86,@UFCVegas42 Day of the upset?!?!  #UFCVegas42,Darby,1
87,"Poor Ben was eating almost all those solid hits, it was over #UFCVegas42",Darby,1
88,Lmao cant help but think about what would happen if that big lad Lima hit me with one of them trucks 😂 #UFCVegas42 #MMATwitter,Darby,1
89,Herb Dean is now being called out in real time by the fighters to end the fight. Ben was rocked and was only going to take more damage. This hesitation is bizarre #UFCVegas42  https://t.co/HSwbWCtomH,Darby,1
91,And this week on the Herb Dean Spectacular:  #UFCVegas42  https://t.co/0g1Xf6qCUP,Darby,1
92,LET'S GO BLESSED!!! HAWAII STAND UP! #UFCVegas42,Darby,1
93,That was a wild finish i thought they was gon let rothwell continue at first tho #UFCVegas42,Darby,1
94,"Early stoppage, late stoppage — whatever, these things happen. But if you’re going to stop a fight, commit to the damn decision. #UFCVegas42",Darby,1
95,"@bisping I gotta ask, why do you put you hand on the shoulder of literally every fighter you interview? 😄 #UFCVegas42",Darby,1
97,"Dan Hardy deserves an apology from the UFC, brought to light how bad Herb Dean is and he’s proven every week how bad he is  #UFCVegas42",Darby,1
98,i really miss max halloway 🖤😍 #UFCVegas42,Darby,1
99,#UFCVegas42 wow 30 seconds that’s a bet.,Darby,1
100,"@BigMarcel24 Worst referee in the UFC! If you’re stopping it, STOP IT!!! So indecisive which is too dangerous at this level. Awful and never held accountable. #ufc #UFCVegas42",Darby,1
101,Let’s go Max!!!! 😤😤😤 #UFCVegas42,Darby,1
102,It’s time! #UFCVegas42,Darby,1
103,De Lima out there like E Honda (@StreetFighter reference for @Bisping). #UFCVegas42  https://t.co/nLorpIMiwQ,Darby,1
104,"Herb Dean looked liked he has looked for the last couple of years, once the best, now he looks like anything but that, sad to say however it’s a truth proven over and over by his performances in the octagon… #UFCVegas42 #ufc  https://t.co/efWgN7G6nB",Darby,1
105,Thank god the co main was great and fast after that Snoozefest by Letson-Spencer #UFCVegas42,Darby,1
107,"Jason Herzog is the gold standard for referees, not Herb Dean. #UFCVegas42 #UFC #MMATwitter",Darby,1
108,Alright do I put 5$ on Yair By KO ? This night been wild #UFCVegas42,Darby,1
109,Yair for the 💰💰💰   Or I finish -3.75 units #UFCVegas42  https://t.co/OTIe17OwB6,Darby,1
110,"Not my day at #UFCVegas42   Down about 5U. Will take a breathe, reevaluate, and come back better. God is still good on the tough days, folks. Hope you all fared better than I! Q  #GamblingTwitter #MMATwitter",Darby,1
111,Finally The Main Event 🔥🔥 #UFCVegas42,Darby,1
113,Today has just been an absolute bloodbath! #UFCVegas42,Darby,1
114,Marcos is going to be a problem.  #UFCVegas42,Darby,1
115,That Rothwell tree went down quick #UFCVegas42,Darby,1
118,Here comes the boom 😎 #UFCVegas42 #MMA,Darby,1
119,Absolute treat for us European fans not having to stay up until 5am to watch #UFCVegas42 👏,Darby,1
120,I really want to know what would have happened if de Lima never said anything. Something BAD could have happened. #UFCVegas42,Darby,1
121,"Herb Dean fucks up..... (everyone speed types ""Herb Dean"" in Twitter search) #UFCVegas42",Darby,1
122,KO number 14 for @Pezao011 in the books 📖   #UFCVegas42  https://t.co/xDNJyS0Z8l,Darby,1
123,Herb Dean at it again 🙄 #UFCVegas42,Darby,1
124,Herb is a joke #UFCVegas42,Darby,1
125,"Can we stick Herb Dean in a cage with @danhardymma already, the consistently useless twat #UFCVegas42",Darby,1
126,the bald brown took him down #UFCVegas42,Darby,1
128,@hektic_one More like…. 😂 #UFCVegas42  https://t.co/z8GPQZHIBL,Darby,1
129,“I’m an island boy”  Max Blessed 🌴 #UFCVegas42 @ufc @BlessedMMA 🙏🏻  https://t.co/s76OfoOCXW,Darby,1
131,Rothwell- DeLima — I guess that’s  what storm in a cage means #UFCVegas42,Darby,1
132,Good night. #UFCVegas42,Darby,1
133,Yamasaki watching Herb Dean work tonight    #UFCVegas42  https://t.co/3TvbqcWl43,Darby,1
134,Heavyweights going crazy #UFCVegas42,Darby,1
135,Give Dan Hardy his job back man. Clearly not the one who's bad at his job. #UFCVegas42,Darby,1
136,Like I said. Herb has fallen off and should accept his membership into the Mario Yamasaki ref club. #UFCVegas42,Darby,1
137,#UFCVegas42 That's the herb dean I know  Gold standard  https://t.co/PFgJuwQeht,Darby,1
138,"One thing is for sure, Herb Dean has head movement. #UFCVegas42",Darby,1
139,Benedict Cumberbatch doing work translating today #UFCVegas42,Darby,1
140,Took this card off betting wise other then a small play on boosted Holloway ITD.. looks like a good call #UFCVegas42,Darby,1
141,Anyone can look better when they're not fighting Amanda Nunes lol but definitely a dominating fight for Spencer. #UFCVegas42,Darby,1
142,1.5 units Lima +135 cashes baby!!! #UFCVegas42,Darby,1
143,Herb Dean was poor there 🤔 #UFC #UFCVegas42,Darby,1
144,Watching the fights on my phone  while Arya watches #CliffordMovie   #UFCVegas42  https://t.co/iE5VL6Ffpg,Darby,1
145,Let’s get it  #UFCVegas42  https://t.co/1z6bGqrE4G,Darby,1
146,With one fight at #UFCVegas42 remaining:   @adamrussell96 -32.25 @RossFBeaumont +25 @GeorgeJhardie -20   A Max Holloway round 4 win means profit all round 🙌,Darby,1
147,Main event time. Max Holloway vs. Yair Rodriguez is up.  Always excited to see Yair back in action. We don't get to see him fight often enough. Yair hasn't fought since October 2019 and averages less than two fights per year. #UFCVegas42,Darby,1
148,"What a devastating fight that was🤯  Blinked and it was all over, he did say he’d break him🤣🤣🇧🇷  #UFCVegas42 @ufc",Darby,1
150,#UFCVegas42 I think that's 50k for de Lima there,Darby,1
151,GOAT MAX TIME #UFCVegas42  https://t.co/QuHXqpkv5x,Darby,1
153,Bro what the actual fuck is wrong with Herb Dean🤣 #UFCVegas42,Darby,1
154,Bisping talking about this man having big feet then the cameraman pans to his feet lmao. What is happening? 🤣 #UFCVegas42,Darby,1
156,I love @bisping cheesing while the translator translates his jokes #UFCVegas42,Darby,1
157,"I like this new translator guy, seems like he’s actually translating exactly what the fighters are saying where as the other guys just summarise. #UFCVegas42",Darby,1
158,@BlessedMMA @panteraufc Two do my favorites LETSSSS GOOO #Warriors #UFCVegas42 #MaxHolloway #foty #Legends,Darby,1
160,#UFCVegas42 BIG BEN just got BIG BEAT with a Flash 🚀🏍🏎👊🏽🦍  💥  by Big Power.,Darby,1
161,"#UFCVegas42 Official Results: Marcos Rogerio de Lima (@Pezao011) defeats Ben Rothwell by TKO (strikes) at :32 of Round 1.  All Results, Interviews &amp; More ⤵️:",Darby,1
162,Its time for the blessed express #UFCVegas42,Darby,1
163,#UFCVegas42 | Well... that was fast! De Lima wins!!!! BET NOW:  https://t.co/S10sLfDhWX,Darby,1
164,Marcos Rogerio de Lima vs. Ben Rothwell was fuckin crazy. Watch everyone blame Herb now   #UFCVegas42 #UFC #MMA #MMATwitter #herbdean,Darby,1
165,Herb 'Early stoppage' Dean #UFCVegas42,Darby,1
166,max blessed bring it home #UFCVegas42,Darby,1
168,UFC fans: omg herb 😓😥😡🥵   The possible outcome without herb:  #UFCVegas42  https://t.co/Eh7Y2xz3J0,Darby,1
169,Let's GOOOOO Max!  #UFCVegas42,Darby,1
170,"Marcos Rogerio de Lima just came out swinging and kept dinging Ben Rothwell's chin. Herb Dean is gonna catch shit and rightfully so, bad decision making, bad execution, but the right result.  TKO (Punches) R1 (0:32)  No judges needed, just like we like it! x9  #UFCVegas42",Darby,1
171,"#UFCVegas42 Faster than it takes to say his name, Marcos Rogerio De Lima flurries for the first round KO/TKO win!",Darby,1
172,@Ariane_lipski It is a pleasure to be able to speak with great warriors like you. good luck in your future wars #UFCVegas42 #UFC #ufcfightnight,Darby,1
173,Whoops #UFCVegas42 #UFC  https://t.co/HrhGb5cHpl,Darby,1
174,"Wow the more replays I see of this ""finish"", the angrier I get. #UFCVegas42",Darby,1
175,I slept through the khaos fight brooo 😞 I ain’t shit   😮‍💨💨💨💨  #UFCVegas42,Darby,1
176,Feel for Big Ben man... That's my guy #UFCVegas42,Darby,1
177,Joe Rogan will still have the guts to say herb is the best in the bussines... #UFCVegas42,Darby,1
178,Never not relevant #UFCVegas42,Darby,1
179,I'm so sorry @BensBellyButton  #UFCVegas42  https://t.co/WQrPpq2H92,Darby,1
180,"Herb continue to be unprofessional if the fighter didn't remind him that he grabbed him and stopped the fight ge would've let him continue despite interfering in the momentum Herb was like : ""yes i stopped it"", wtf.  #UFCVegas42",Darby,1
181,That De Lima TKO was brutal!! 🔥🔥👀  #UFCVegas42,Darby,1
182,#UFCVegas42   My girl when she’s deciding where she wants to eat:  https://t.co/GmOmrm71dM,Darby,1
183,Herb being horrible once again. #UFCVegas42,Darby,1
184,that fight was too quick 😭 #UFCVegas42,Darby,1
185,I want someone to listen to me the way the Portuguese/Spanish translator listens to the fighters #UFCVegas42,Darby,1
187,Have a feeling Pezao will be among the bonus-winners tonight #UFCVegas42,Darby,1
188,#UFCVegas42 herb dean has got to go before he ends up getting someone seriously hurt or worse with his own indecisions his time is up plenty of better competent refs out there.,Darby,1
189,"I’ve said it before and I’ll say it again… When it comes to the most dangerous things in modern MMA, weight cutting is second only to Herb Dean. #UFCVegas42",Darby,1
191,Amazing just amazing #UFCVegas42,Darby,1
193,Calf kick along with a huge set of right hand power shots forces a stoppage by Herb Dean….. Marcos De lima showcases his power for the win #UFCVegas42 @danawhite @ESPNPlus @joerogan,Darby,1
194,Here go max!!! #UFCVegas42,Darby,1
195,Herb Dean second guessing a stoppage yet again. One too many times we've seen this from him and only him #UFCVegas42,Darby,1
196,“Thats Herb Dean fault!” #UFCVegas42  https://t.co/v2jgrSYlPv,Darby,1
198,I can think of more Herb Dean fuck ups than good referee decisions… #UFCVegas42,Darby,1
199,Igual te banco Rothwell #UFCVegas42,Darby,1
200,Herb Dean used to be a good ref. Those days are behind us. Get out the cage dude #UFCVegas42,Darby,1
201,THIRTY-TWO FREAKING SECONDS!!!😱  🇧🇷@pezaomma011 showed no fear and turned the tables on Rothwell for a first-round stoppage! #UFCVegas42  https://t.co/BQxsZhdIPG,Darby,1
202,🚂👏🏻 let’s go Max!! #UFCVegas42,Darby,1
203,Herb needs to get off the herb. #UFCVegas42  https://t.co/v1RxhMgk1d,Darby,1
204,The way De Lima was swinging!!! 😂😂#UFCVegas42!!,Darby,1
205,excited for the main event! Max Holloway🇺🇸🌺 vs. Yair Rodriguez🇲🇽 drop your last minute predictions ⬇️ #UFCVegas42,Darby,1
206,Made it home in time for the main event! Let’s go Max! #UFCVegas42,Darby,1
207,@BlessedMMA Lets go!!! #UFCVegas42,Darby,1
208,Ben got caught with BOMBS! #UFCVegas42,Darby,1
209,Blessed is the best #UFCVegas42 let’s go @BlessedMMA !,Darby,1
210,"Two horrendous leg kicks to start. Then when Rothwell was thinking about those leg shots, mad shots to the dome. CTE special. My lord #UFCVegas42",Darby,1
211,Holloway time #UFCVegas42  https://t.co/VO7FQFt0iD,Darby,1
212,Holloway v Rodiguez next this could be a savage fight #UFCVegas42,Darby,1
213,Bet De Lima Unders Make Money. #UFCVegas42,Darby,1
214,"Tbf Ben Rothwell probably would’ve been knocked out if Herb Dean didn’t try to grab Lima, so in a sense I could see Herb’s POV, but it is an early stoppage 😐 #UFCVegas42",Darby,1
215,Holloway v Rodriguez up next🚨🚨🚨 LFG MAX #UFCVegas42,Darby,1
217,Big shots from @pezao011 to force Herb Dean to jump in and stop the fight against a rocked Ben Rothwell. Classy for him to stop raining shots once Herb had attempted to jump in to stop the fight #UFCVegas42 #UFC,Darby,1
218,Herb went from being the best ref to one of the worst refs. Jesus Christ #UFCVegas42,Darby,1
220,"Really like Yair, but Holloway is one of my favorite fighters ever. Let’s go Max!! #UFCVegas42 @ufc",Darby,1
221,Let’s get this win @BlessedMMA #ufcvegas42,Darby,1
223,when did christopher nolan become a translator #UFCvegas42,Darby,1
224,Herb Dean is the Joe Biden of referees #UFCVegas42,Darby,1
225,Now everyone’s talking about the garbage ref instead of a great tko #UFCVegas42,Darby,1
226,#UFCVegas42 wow! Big Ben Rothwell stopped by @TheRock 💪😂,Darby,1
227,It's time for the #BlessedExpress #UFCVegas42,Darby,1
228,#UFCVegas42 💣💣 wait!.. so this card is now on 10Fights with 9 Knockouts ?.. that's insane!!..,Darby,1
229,#UFCVegas42 De Lima was too strong for that man💥💥,Darby,1
230,Big Ben thought he was throwing with @BrendanSchaub for a second #UFCVegas42,Darby,1
231,May be the worst stoppage I've ever seen that was Terrible #UFCVegas42,Darby,1
232,I hope Yair can pull this off. #UFCVegas42,Darby,1
233,"More indecisiveness from Herb Dean. I hate to be critical of referees, as I could never to their job, but you can't have indecisive officials in the cage.  #UFCVegas42",Darby,1
234,"Damn, De Lima threw them hands! #UFCVegas42",Darby,1
236,Herb Dean with the most awkward stoppage ever #UFCVegas42,Darby,1
237,Big Ben has collapsed lmao #UFCVegas42,Darby,1
238,Lol @bisping nodding along listening to Rogerio De Lima speaking Portuguese is hilarious 😂 #UFCVegas42,Darby,1
240,"32 seconds, goodnight. Insane stuff! 🥊 #UFCVegas42",Darby,1
241,Should be a classic! #UFCVegas42  #HollowayVsRodriguez  https://t.co/8gX8RlihST,Darby,1
242,Herb needs to rethink his career path. I think it's time to remove him for main cards  #UFCVegas42,Darby,1
243,Main Event Time! #UFCVegas42,Darby,1
244,"Right or wrong decision, you gotta be more decisive than Herb Dean was there as a ref #UFCVegas42",Darby,1
245,#UFCVegas42  been lit since the first bell… literally my day and I bet nothing wtf!,Darby,1
246,"Marcos Rogerio De Lima def. Ben Rothwell by TKO at 0:32 of Round 1.   Herb Dean pretty much stopped this fight, decided to let continue, then proceeded to stop it again.   10 fights, 9 stoppages. Main event time. #UFCVegas42",Darby,1
247,I love Herb Dean but some of his stoppages these last few years are super awkward. I don’t disagree with the stoppage in De Lima vs Rothwell but he called the fight and then let them keep fighting for a minute 🤨 #UFCVegas42,Darby,1
248,Need a finish in the Holloway fight to cash this +6000 parlay on top of all the other plays .. 🔥🔥🔥🔥🔥🔥 #UFCVegas42 #GamblingTwitter  https://t.co/9EtCeN9ECt,Darby,1
249,Marcos Rogerio de Lima def. Ben Rothwell by TKO (Punches) in R1. #UFCVegas42  https://t.co/JFvvQIZP2f,Darby,1
250,@arielhelwani It was a good stoppage. Ben doesnt need to get hit in the head until unconscious for Herb to step in. #UFCVegas42,Darby,1
251,"Look, I’m never gonna be mad at a heavyweight fight getting stopped early #UFCVegas42  https://t.co/5MxqUfZR6C",Darby,1
252,"MAIN EVENT TIME, LETS GO!! #UFCVegas42  https://t.co/ezbSzmBDYL",Darby,1
254,"He ‘stopped’ it. Then let it go to the ground, then came in and said “I already stopped it”? So confusing. #UFCVegas42",Darby,1
255,"That was a super awkward stoppage though. And Herb should have committed to the stoppage. Normally I think people overreact about Herb, but bad precedent to let fighters end fights. #UFCVegas42",Darby,1
257,Herb trying to decide what he’s supposed to do as a literal fucking ref 🤣🤦🏻‍♀️#UFCVegas42  https://t.co/P1CHeziv5Z,Darby,1
258,Wow. 32 seconds 🤯 #UFCVegas42,Darby,1
260,SHHEEEESH KEEP EM COMING 🔥  #UFCVegas42,Darby,1
261,KO number 14 for @Pezao011 in the books 📖  [ #UFCVegas42 | Main Card Live NOW on @ESPNPlus ]  https://t.co/pvRTCDnzi9,Darby,1
262,"He was getting pummeled. But what an awkward, bad stoppage.  I’m in favor of saving a fighter from extra damage but this fast into a fight some freedom to recover and scramble should be given. #UFCVegas42",Darby,1
264,What a hit and game over so fast. #UFCVegas42,Darby,1
266,Max Holloway fight now let’s go! #UFCVegas42,Darby,1
267,"Main event is already about to begin lmfaooooo, what a finish tho #UFCVegas42",Darby,1
268,Wow completely blown away by the Co-Main event 😱 @pezao011 was 🔥 #UFCVegas42,Darby,1
269,#UFCVegas42  Herb Dean keeping this TKO run throughout the main card going. Almost reconsidered but then re-corrected is initial decision 😂,Darby,1
271,Herb Dean: Kill Him  #UFCVegas42 #UFC,Darby,1
272,Marcos is real cool real calm but not in that octagon #UFCVegas42,Darby,1
273,Herb Dean is the new Mario Yamazaki #UFCVegas42,Darby,1
274,"-2u Ben Rothwell. I'll admit I kinda forced that play after feeling like I didn't have enough action on this card and wanted to have some fun. I'll still end in the green if Max  wins to close out my final parlay, but not by much. #UFCVegas42",Darby,1
275,Bisping is such a hunk #UFCVEGAS42,Darby,1
278,"Herb Dean has been one of the best refs in the game, but just like fighters, there comes a time when you lose a step and it’s time to walk away #UFCVegas42",Darby,1
279,De Lima with a shocker on Big Ben. That was incredible #UFCVegas42,Darby,1
280,Max Holloway and Yair Rodriguez up NOW. #UFCVegas42,Darby,1
281,He just beat that man like he stole his lunch money #UFCVegas42,Darby,1
282,JESUS 10 fights 9 finishes 😳  Holy hell VIOLENCE #UFCVegas42,Darby,1
283,"Rothwell 😂😂😂😂😂 piss of to Bellator or some shit, it’s over. #UFCVegas42",Darby,1
284,"Those hands, damn! #UFCVegas42",Darby,1
285,Herb Dean wants death  #UFCVegas42,Darby,1
286,"It was the correct decision to stop the fight, but the way Herb Dean fucked about doing it, is just another highlight of his decline as a referee. #UFCVegas42",Darby,1
288,TIME TO GET BLESSED #UFCVegas42,Darby,1
289,Marcos Rogerio De Lima makes quick work of Ben Rothwell 1st round TKO. #UFCVegas42,Darby,1
290,How many of these you think will take for someone to do something about herb Dean? Disgraceful. #UFCVegas42,Darby,1
291,Fuck me if I took one punch like that my head would actually fall off. #UFCVegas42,Darby,1
292,"Herb ""protect myself "" Dean #UFCVegas42",Darby,1
293,That was the first time Ben Rothwell has been knocked out since he fought Cain Velasquez in 2009. Ben is a really tough guy to finish so that was impressive as hell by De Lima. #UFCVegas42,Darby,1
294,Max Holloway vs Yair Rodriguez is up next!!! Join my live stream watch along now #ufcvegas42  https://t.co/J5LzRZgaik,Darby,1
295,I've never seen a referee forget they were the referee mid stoppage before #UFCVegas42,Darby,1
296,The way this card has gone I’m concerned for Max. #UFCVegas42,Darby,1
297,"Here is the picture of us, me awkwardly laughing as his wife has a pop at him!! #UFCVegas42  https://t.co/5CAxybEbMt",Darby,1
298,WINNER BY T-K-WOAH THAT LOOK LIKE IT HURT! de LIMA!! #UFCVegas42  https://t.co/YNQkZBBRd4,Darby,1
300,"Sad for Ben, this was quite shocking #UFCVegas42",Darby,1
301,Cmon Herb! #UFCVegas42,Darby,1
302,It was like Herb Dean wanted to let Rogerio de Lima continue to pummel Rothwell but realized Big Ben probably isn't gonna fall so then he tried stepping in. #UFCVegas42,Darby,1
303,This Translator is Incredible #UFCVegas42,Darby,1
304,32 SECONDS 😳 #UFCVegas42,Darby,1
305,I just expect Herb to screw up these days. #UFCVegas42,Darby,1
306,#UFCVegas42 Only 20% of MMA-Pickit users chose De Lima over Rothwell.,Darby,1
307,#UFCVegas42 this video lasts long that the fight   https://t.co/poNpWzchOD,Darby,1
308,Marcos Rogerio de lima def. Ben Rothwell via TKO (punches) at 0:32 of Round 1 #UFCVegas42,Darby,1
309,HOLY FUCKING SHIT DE LIMA😳WHAT A BARRAGE WTF #UFCVegas42,Darby,1
311,"If ben didn't argue, it's a good stoppage #UFCVegas42",Darby,1
312,My girlfriend said that was an early stoppage  #UFCVegas42,Darby,1
313,Feels like this card just started and we’re already on the last fight #UFCVegas42,Darby,1
314,"unto the main event, Holloway vs Rodriguez  #UFCVegas42",Darby,1
316,Rough night for herb dean man sheeeeesh #UFCVegas42,Darby,1
318,NOOOOOOOOOO!!!!  NOT BEN!!!!!  Ben Rothwell just got clobbered by Marcos Rogerio De Lima for the TKO win. Man swang for the fences.  😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭  Pain....#UFCVegas42,Darby,1
319,Herb Dean you just fucked up my parlay bitch. #UFCVegas42,Darby,1
320,He finally broke the Win/ Lose pattern #UFCVegas42  https://t.co/X0W0m7yjV0,Darby,1
